ROC_AUC,Brier,F1,Model
0.6339127737095162,0.10898745063902292,0.0,TabPFN (Raw)
0.6319257043683763,0.10962219839491841,0.03418803418803419,TabPFN (Calibrated)
0.6204877597882774,0.10916797099229858,0.0,GLM
0.621645056313656,0.10877810566176169,0.0,CatBoost
0.5832694029135805,0.11461356282234192,0.038135593220338986,XGBoost
0.5884043565992658,0.11217480485689506,0.0,RandomForest
0.6204877597882774,0.10916797099229858,0.0,GLM
0.621645056313656,0.10877810566176169,0.0,CatBoost
0.5832694029135805,0.11461356282234192,0.038135593220338986,XGBoost
0.5884043565992658,0.11217480485689506,0.0,RandomForest
0.6339127737095162,0.10898745063902292,0.0,TabPFN (Raw)
0.6319257043683763,0.10962219839491841,0.03418803418803419,TabPFN (Calibrated)
0.6204877597882774,0.10916797099229858,0.0,GLM
0.621645056313656,0.10877810566176169,0.0,CatBoost
0.5832694029135805,0.11461356282234192,0.038135593220338986,XGBoost
0.5884043565992658,0.11217480485689506,0.0,RandomForest
